| Honeymoon in Vegas                 | Comedy                      | Columbia Pictures                  | James Caan           | Nicolas Cage      | 1992                | Andrew Bergman       | 35208854     |                        |                        |                         |                     |
| Interview with the Vampire         | Drama horror                | Warner Bros.                       | Tom Cruise           | Brad Pitt         | 1994                | Neil Jordan          | 223700000    |                        |                        |                         |                     |
| Days of Thunder                    | Racing                      | Paramount Pictures                 | Tom Cruise           | Nicole Kidman     | 1990                | Tony Scott           | 157920733    |                        |                        |                         |                     |
| Far and Away                       | Romantic adventure drama    | Universal Pictures                 | Tom Cruise           | Nicole Kidman     | 1992                | Ron Howard           | 137800000    |                        |                        |                         |                     |
| Batman Forever                     | Superhero                   | Warner Bros.                       | Val Kilmer           | Tommy Lee Jones   | 1995                | Joel Schumacher      | 336500000    |                        |                        |                         |                     |
